대장동계곡_1,고도(대장동계곡),대장동계곡_2,깊이(대장동계곡),대장동계곡_3,경사도(대장동계곡),송하계곡_1,고도(송하계곡),송하계곡_2,깊이(송하계곡),송하계곡_3,경사도(송하계곡),본신계곡_1,고도(본신계곡),본신계곡_2,깊이(본신계곡),본신계곡_3,경사도(본신계곡),얼음골_1,고도(얼음골),얼음골_2,깊이(얼음골),얼음골_3,경사도(얼음골),동산계곡_1,고도(동산계곡),동산계곡_2,깊이(동산계곡),동산계곡_3,경사도(동산계곡),치산계곡_1,고도(치산계곡),치산계곡_2,깊이(치산계곡),치산계곡_3,경사도(치산계곡),용루골천_1,고도(용루골천),용루골천_2,깊이(용루골천),용루골천_3,경사도(용루골천),삼의계곡_1,고도(삼의계곡),삼의계곡_2,깊이(삼의계곡),삼의계곡_3,경사도(삼의계곡),성주봉휴양림_1,고도(성주봉휴양림),성주봉휴양림_2,깊이(성주봉휴양림),성주봉휴양림_3,경사도(성주봉휴양림),용담계곡_1,고도(용담계곡),용담계곡_2,깊이(용담계곡),용담계곡_3,경사도(용담계곡)
1080.817764,70.28977966,1048.506183,393.1095886,1048.506183,6.721399784,629.7747727,363.7772217,629.7747727,88.24189758,629.7747727,8.104399681,,,1009.671065,125.0867004,1009.671065,3.814100027,,,1374.469156,142.9221954,1374.469156,2.134299994,,,,,,,,,,,,,768.8184543,292.6028442,768.8184543,56.05319977,768.8184543,6.853199959,821.5860824,374.7705688,821.5860824,123.8348007,821.5860824,4.763599873,1240.292299,189.1590424,1092.292482,297.9898071,1092.292482,0.95480001,977.4871801,199.4995575,959.4287873,44.46789932,959.4287873,11.79570007
,,1080.817764,332.389801,1080.817764,7.652999878,641.9281076,363.7772217,641.9281076,79.84279633,641.9281076,5.788799763,,,,,,,,,,,,,,,,,,,,,,,,,791.1072755,290.1772156,791.1072755,51.37950134,791.1072755,11.46179962,840.5367649,359.9380188,840.5367649,143.953598,840.5367649,4.763599873,1295.212323,189.1590424,1137.296688,315.1388855,1137.296688,0,989.3491125,199.4995575,977.4871801,44.46789932,977.4871801,5.12869978
,,,,,,656.9688478,363.7772217,656.9688478,79.84279633,656.9688478,5.788799763,,,,,,,,,,,,,,,,,,,,,,,,,815.7683802,290.1772156,815.7683802,65.92780304,815.7683802,4.262700081,861.9981608,359.9380188,861.9981608,150.1690063,861.9981608,1.350200057,1329.1357,181.1108398,1185.377171,316.5964966,1185.377171,2.862400055,,,989.3491125,44.46789932,989.3491125,5.12869978
,,,,,,663.3480334,363.7772217,663.3480334,79.84279633,663.3480334,5.788799763,,,,,,,,,,,,,,,,,,,,,,,,,821.318132,292.7848511,821.318132,65.92780304,821.318132,4.262700081,892.1094259,382.1938171,892.1094259,137.5937042,892.1094259,0,1365.801939,181.1108398,1240.292299,326.9191895,1240.292299,11.34809971,,,,,,
,,,,,,668.3058832,363.7772217,668.3058832,56.63430023,668.3058832,5.788799763,,,,,,,,,,,,,,,,,,,,,,,,,828.3617504,292.7848511,828.3617504,65.92780304,828.3617504,4.262700081,908.6273576,382.1938171,908.6273576,143.5639038,908.6273576,0,1382.045166,181.1108398,1295.212323,325.8771973,1295.212323,4.857500076,,,,,,
,,,,,,676.074939,363.7772217,676.074939,79.84279633,676.074939,5.788799763,,,,,,,,,,,,,,,,,,,,,,,,,846.6866094,292.7848511,846.6866094,54.99489975,846.6866094,4.857500076,966.2184711,365.2622986,966.2184711,88.70439911,966.2184711,17.08309937,1434.711342,173.6035309,1329.1357,327.9642029,1329.1357,2.862400055,,,,,,
,,,,,,679.3438212,363.7772217,679.3438212,68.66130066,679.3438212,9.462300301,,,,,,,,,,,,,,,,,,,,,,,,,870.5657107,292.7848511,870.5657107,41.2663002,870.5657107,6.721399784,993.3915983,365.2622986,993.3915983,129.4777069,993.3915983,15.42319965,1477.45563,173.6035309,1365.801939,308.3463135,1365.801939,3.931099892,,,,,,
,,,,,,684.3239999,363.7772217,684.3239999,68.66130066,684.3239999,9.462300301,,,,,,,,,,,,,,,,,,,,,,,,,943.612597,283.629364,907.0891538,27.09770012,907.0891538,5.788799763,1026.929508,365.2622986,1026.929508,177.6004944,1026.929508,7.594600201,1505.784313,173.6035309,1382.045166,308.3463135,1382.045166,3.931099892,,,,,,
,,,,,,689.6294525,363.7772217,689.6294525,68.66130066,689.6294525,9.462300301,,,,,,,,,,,,,,,,,,,,,,,,,956.6247202,283.629364,943.612597,23.12479973,943.612597,13.06919956,1070.210351,353.9733887,1070.210351,178.0709991,1070.210351,0,1522.658578,183.1113892,1434.711342,318.5705872,1434.711342,8.582500458,,,,,,
,,,,,,697.4782939,363.7772217,697.4782939,68.66130066,697.4782939,9.462300301,,,,,,,,,,,,,,,,,,,,,,,,,972.1350708,283.629364,956.6247202,23.12479973,956.6247202,13.06919956,1100.592234,353.9733887,1100.592234,178.0709991,1100.592234,0,,,1477.45563,311.7278137,1477.45563,8.984900475,,,,,,
,,,,,,720.0570828,373.97229,720.0570828,55.24069977,720.0570828,13.6402998,,,,,,,,,,,,,,,,,,,,,,,,,999.3751902,281.6711426,972.1350708,26.66629982,972.1350708,8.582500458,,,,,,,,,1505.784313,228.459198,1505.784313,11.64859962,,,,,,
,,,,,,726.9122053,373.97229,726.9122053,55.24069977,726.9122053,13.6402998,,,,,,,,,,,,,,,,,,,,,,,,,1013.343746,281.6711426,999.3751902,34.42679977,999.3751902,7.825500011,,,,,,,,,1522.658578,228.459198,1522.658578,11.64859962,,,,,,
,,,,,,736.0474909,373.97229,736.0474909,55.24069977,736.0474909,13.6402998,,,,,,,,,,,,,,,,,,,,,,,,,1039.165691,281.6711426,1013.343746,34.42679977,1013.343746,7.825500011,,,,,,,,,,,,,,,,,,
,,,,,,742.9818374,373.97229,742.9818374,45.24449921,742.9818374,20.66259956,,,,,,,,,,,,,,,,,,,,,,,,,1061.259453,281.6711426,1039.165691,43.60079956,1039.165691,4.262700081,,,,,,,,,,,,,,,,,,
,,,,,,750.7299923,373.97229,750.7299923,45.24449921,750.7299923,20.66259956,,,,,,,,,,,,,,,,,,,,,,,,,1066.172735,281.6711426,1061.259453,49.87760162,1061.259453,1.909199953,,,,,,,,,,,,,,,,,,
,,,,,,753.3560412,373.97229,753.3560412,45.24449921,753.3560412,20.66259956,,,,,,,,,,,,,,,,,,,,,,,,,1087.985906,279.5009155,1066.172735,49.87760162,1066.172735,1.909199953,,,,,,,,,,,,,,,,,,
,,,,,,756.1337155,373.97229,756.1337155,45.24449921,756.1337155,20.66259956,,,,,,,,,,,,,,,,,,,,,,,,,1109.760882,279.5009155,1087.985906,49.60929871,1087.985906,3.814100027,,,,,,,,,,,,,,,,,,
,,,,,,769.7370941,373.97229,769.7370941,48.88980103,769.7370941,12.36460018,,,,,,,,,,,,,,,,,,,,,,,,,1141.589514,279.5009155,1109.760882,49.60929871,1109.760882,3.814100027,,,,,,,,,,,,,,,,,,
,,,,,,778.018748,373.97229,778.018748,48.88980103,778.018748,12.36460018,,,,,,,,,,,,,,,,,,,,,,,,,1178.692955,274.6520691,1141.589514,43.87369919,1141.589514,9.64620018,,,,,,,,,,,,,,,,,,
,,,,,,783.9887897,373.97229,783.9887897,48.88980103,783.9887897,12.36460018,,,,,,,,,,,,,,,,,,,,,,,,,1199.697372,274.6520691,1178.692955,35.27619934,1178.692955,15.04240036,,,,,,,,,,,,,,,,,,
,,,,,,794.9299664,377.2218018,794.9299664,44.37860107,794.9299664,17.75279999,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.697372,35.27619934,1199.697372,15.04240036,,,,,,,,,,,,,,,,,,
,,,,,,799.910145,377.2218018,799.910145,44.37860107,799.910145,17.75279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,806.5476692,377.2218018,806.5476692,44.37860107,806.5476692,17.75279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,814.2205546,377.2218018,814.2205546,63.53279877,814.2205546,4.857500076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,822.1902541,377.2218018,822.1902541,63.53279877,822.1902541,4.857500076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,830.3284469,377.2218018,830.3284469,63.53279877,830.3284469,22.66860008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,842.3205973,377.2218018,842.3205973,46.52420044,842.3205973,22.66860008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
