농월정,고도(농월정),농월정_1,깊이(농월정),농월정_2,경사도(농월정),옥계리,고도(옥계리),옥계리_1,깊이(옥계리),옥계리_2,경사도(옥계리),용추,고도(용추),용추_1,깊이(용추),용추_2,경사도(용추),신선계곡,고도(신선계곡),신선계곡_1,깊이(신선계곡),신선계곡_2,경사도(신선계곡),하옥계곡,고도(하옥계곡),하옥계곡_1,깊이(하옥계곡),하옥계곡_2,경사도(하옥계곡),요강소,고도(요강소),요강소_1,깊이(요강소),요강소_2,경사도(요강소),용소폭포,고도(용소폭포),용소폭포_1,깊이(용소폭포),용소폭포_2,경사도(용소폭포)
898.2588302,220.342804,408.9482325,169.483902,408.9482325,14.62110043,385.9635328,166.1515808,385.9635328,159.2765961,385.9635328,0.95480001,506.8769308,183.4349518,393.7383369,118.3543015,393.7383369,6.654399872,452.7382077,160.8031158,381.5878986,54.82109833,381.5878986,15.84519958,575.2430159,206.4936981,422.7043654,177.8137054,422.7043654,0,437.6398474,376.6499939,368.5242351,115.3163986,368.5242351,3.814100027,598.8070335,236.0322723,368.5312728,409.9760132,368.5312728,17.93199921
1014.333899,223.9389496,452.4665055,233.2180023,452.4665055,4.262700081,457.5392915,158.9805603,421.7514121,157.6284027,421.7514121,2.134299994,546.4301705,183.4349518,424.7935493,105.9434967,424.7935493,10.55539989,470.3912532,160.8031158,396.7334265,54.82109833,396.7334265,15.84519958,682.1564922,189.7590485,455.6008096,180.2924042,455.6008096,0,451.127143,376.6499939,399.6096982,111.6656036,399.6096982,2.862400055,720.2762014,230.3064575,422.9345692,406.7051086,422.9345692,8.104399681
1130.408967,221.3398132,495.9847785,246.0128937,495.9847785,0.95480001,474.7050116,158.9805603,457.5392915,123.2871017,457.5392915,10.04679966,571.5630601,183.4349518,458.446296,92.83110046,458.446296,13.91580009,495.6311973,160.2962799,420.6915787,39.61809921,420.6915787,18.64819908,737.1700538,189.7590485,472.7199178,180.2924042,472.7199178,0,457.890024,377.4672241,426.2652629,117.6256027,426.2652629,0.95480001,839.9382924,228.6898804,477.3378656,409.4830017,477.3378656,2.862400055
1183.598231,221.3398132,535.600255,239.0583038,535.600255,1.350200057,493.9386819,158.9805603,474.7050116,123.2871017,474.7050116,10.04679966,631.1259748,184.9140778,506.8769308,81.04380035,506.8769308,9.870900154,523.8427462,160.2962799,452.7382077,26.98810005,452.7382077,15.99989986,,,506.8942838,183.4040985,506.8942838,0,469.3471339,377.4672241,437.6398474,109.6592026,437.6398474,0.95480001,986.6039027,227.4334869,517.8275882,334.8420105,517.8275882,19.45120049
1236.245503,216.4191742,575.2157314,238.8170929,575.2157314,0,505.2660736,172.9757538,493.9386819,119.7807007,493.9386819,12.26010036,662.8542921,184.9140778,546.4301705,71.16680145,546.4301705,13.82470036,569.5186917,160.2962799,470.3912532,47.67750168,470.3912532,16.52779961,,,541.0686499,165.4188995,541.0686499,0.95480001,484.489418,377.4672241,451.127143,109.6592026,451.127143,0.95480001,1075.704873,230.8904572,558.3173109,253.3087006,558.3173109,6.918200016
1334.380204,221.5262451,614.561698,247.0570984,614.561698,0,516.3328789,172.9757538,505.2660736,119.7807007,505.2660736,12.26010036,710.155077,188.7259521,571.5630601,74.65920258,571.5630601,18.87919998,590.1567484,166.4930115,495.6311973,47.67750168,495.6311973,6.091499805,,,575.2430159,150.8423004,575.2430159,1.909199953,490.136164,377.4672241,457.890024,109.6592026,457.890024,0.95480001,1220.181464,235.1342621,598.8070335,290.8894958,598.8070335,2.134299994
1403.117839,219.3592072,653.9076646,254.0350952,653.9076646,0,558.6279909,158.8350372,516.3328789,119.7807007,516.3328789,12.26010036,762.625988,188.7259521,631.1259748,72.98220062,631.1259748,5.550700188,611.7741868,148.2054291,523.8427462,59.60910034,523.8427462,13.32649994,,,610.8808413,177.3014984,610.8808413,0,492.7732581,377.4672241,469.3471339,106.9560013,469.3471339,0.95480001,1287.37751,223.9790649,639.2967561,319.0433044,639.2967561,7.652999878
1485.342076,217.5904388,693.2536312,253.0019989,693.2536312,0,565.8801948,158.8350372,558.6279909,148.455307,558.6279909,17.22439957,809.5841253,176.1805725,662.8542921,85.42520142,662.8542921,12.22509956,657.6825229,148.2054291,569.5186917,88.5134964,569.5186917,0.95480001,,,646.5186668,169.0991058,646.5186668,2.134299994,498.2514064,377.4672241,484.489418,106.9560013,484.489418,0.95480001,1449.101608,225.46875,679.7864787,257.0286865,679.7864787,3.931099892
1519.264951,213.2891541,723.6900183,260.8887939,723.6900183,0,578.9514659,158.8350372,565.8801948,148.455307,565.8801948,6.721399784,837.1276393,176.1805725,710.155077,109.3815002,710.155077,1.350200057,691.243045,148.2054291,590.1567484,88.5134964,590.1567484,9.368900299,,,682.1564922,163.8144989,682.1564922,9.462300301,505.8861208,377.4672241,490.136164,106.9560013,490.136164,0.95480001,1610.631348,226.5339661,720.2762014,299.3905029,720.2762014,0.95480001
1575.488989,215.1098633,754.1264055,262.2626953,754.1264055,0,620.8570601,158.8350372,578.9514659,148.455307,578.9514659,6.721399784,884.8477971,176.1805725,762.625988,145.7964935,762.625988,6.918200016,715.5523209,148.2054291,611.7741868,74.25550079,611.7741868,9.368900299,,,737.1700538,141.1842957,737.1700538,18.30540085,516.9472646,377.4672241,492.7732581,106.9560013,492.7732581,0.95480001,1662.130786,227.7963715,760.163565,335.2528992,760.163565,0
1636.242961,215.1098633,784.5627927,262.5386047,784.5627927,0,722.5716588,169.7557373,620.8570601,150.1622009,620.8570601,0,941.1983865,168.5419464,809.5841253,147.956604,809.5841253,2.134299994,756.0200131,146.5193939,657.6825229,83.95279694,657.6825229,7.652999878,,,,,,,524.6440891,377.4672241,498.2514064,105.5677032,498.2514064,0.95480001,1722.87273,227.7963715,800.0509287,278.6810913,800.0509287,2.134299994
