wtrplay_plc_nm,ctprvn_nm,sgg_nm,emd_nm,detail_plcnm,adres,wtrplay_plc_type,wtrplay_sec,wtrplay_deep,wtrplay_deep_avg,year_visitor,acdt_co,x,y,manage_type,manage_at
덕풍계곡,강원도,삼척시,가곡면,덕풍계곡 마을관리휴양지,강원도 삼척시 가곡면 풍곡리 803-10,계곡,5600.0,3,2,36,0,14379581.29,4455140.827,일반지역,2
용소계곡,강원도,홍천군,두촌면,용소계곡,강원도 홍천군 두촌면 괘석리 696-1,계곡,100,2,1,5,0,14253434.04,4559073.125,일반지역,2
용오름캠핑장,강원도,홍천군,서석면,용오름교아래,강원도 홍천군 서석면 검산길 263,계곡,100,2,1,2,0,14275162.65,4540073.701,일반지역,2
칙소,강원도,홍천군,동면,칙소,강원도 홍천군 동면 신봉리 256-11,계곡,100,2,1,3,0,14245586.71,4535842.774,일반지역,2
큰귕소,강원도,홍천군,동면,큰귕소,강원도 홍천군 동면 덕치리466,계곡,100,3,1.5,1,0,14241755.35,4536529.166,일반지역,2
귕소(용담위),강원도,홍천군,동면,귕소(용담위),강원도 홍천군 동면 덕치리466,계곡,100,3,1.5,1,0,14241755.35,4536529.166,일반지역,2
용담계곡,강원도,홍천군,동면,수타사 용담계곡,강원도 홍천군 동면 덕치리466,계곡,100,3,2,20,1,14241755.35,4536529.166,일반지역,2
용담계곡,강원도,화천군,사내면,용담계곡,강원도 화천군 사내면 용담리 913,계곡,3000.0,2.5,1,0,0,14198323.39,4587042.127,중점관리지역,1
내가평교(금강소),강원도,인제군,북면,백담정 앞,강원도 인제군 북면 용대리 656-1,계곡,120,4,3,40,0,14288465.27,4606693.682,중점관리지역,1
떡바위소,강원도,인제군,북면,백담주차장 앞,강원도 인제군 북면 용대리 861,계곡,60,6,2,40,0,14287957.94,4606624.166,중점관리지역,1
심적유원지,강원도,인제군,서화면,심적유원지,강원도 인제군 서화면 서화리산 212,계곡,200,2,2,2,0,14275005.88,4616828.229,중점관리지역,1
용소폭포앞,강원도,인제군,상남면,용소폭포앞,강원도 인제군 상남면 상남리1759,계곡,120,3,2,1,0,14274223.85,4563364.481,중점관리지역,1
용담계곡,강원도,화천군,사내면,용담계곡,강원도 화천군 사내면 용담리 42,계곡,"3,000",3,1,null,0,14199438.93889278,4587401.567077986,위험지역,3
장천재계곡,전라남도,장흥군,관산,장천재계곡,전라남도 장흥군 관산읍 옥당리 90,계곡,35,1,0.7,null,1,14129471.38840008,4102632.020098425,위험지역,3
봉덕계곡,전라남도,장흥군,유치,봉덕계곡,전라남도 장흥군 유치면 봉덕리 149-1,계곡,80,1.2,0.6,null,0,14125466.70311463,4139078.625890161,위험지역,3
장산계곡,부산광역시,해운대구,우동,양운폭포,부산광역시 해운대구 우동 산2,계곡,500,2,1,null,1,14378167.94733592,4189344.086586406,위험지역,3
용성계곡,부산광역시,금정구,청룡동,용성계곡(구. 월류댐),부산광역시 금정구 청롱동 602-1,계곡,0,3,1,null,2,14368970.5253669024,4201927.8152889479,위험지역,3
용소천계곡,부산광역시,기장군,장안읍,계곡1구역,부산광역시 금정구 청룡동 455,계곡,50,2,1,null,0,14368797.49561501,4201966.747105921,위험지역,3
용소천계곡,부산광역시,기장군,장안읍,계곡2구역,부산광역시 기장군 장안읍 반룡리 786-21,계곡,50,3,2,null,0,14388754.5756257,4209991.049806077,위험지역,3
용담계곡,강원도,홍천군,동  면,수타사 용담계곡,강원도 홍천군 동면 덕치리466,계곡,100,3,2,null,1,14241785.35186435,4536529.16607177,위험지역,3
칡소폭포,강원도,홍천군,내면,칡소폭포,강원도 홍천군 내면  광원리 551-4,계곡,100,3,1,null,1,14299415.97544963,4554503.131959073,위험지역,3
탁사정,충청북도,제천시,봉양읍,탁사정,충청북도 제천시 봉양읍 제원로 483,계곡,100,5,1,null,1,14260575.94832687,4462413.168682154,위험지역,3
용추폭포,충청북도,괴산군,청천면,용추폭포,충청북도 괴산군 청천면 도경로지촌1길 14-21,계곡,100,3,2,null,3,14228665.67082547,4398259.518381836,위험지역,3
산내계곡,전라북도,남원시,산내면,털보가든 앞,전라북도 남원시 산내면 입석리 726,계곡,130,2,1,null,null,14206560.49199679,4219665.859672043,위험지역,3
산내계곡,전라북도,남원시,산내면,토비스야영장 앞,전라북도 남원시 산내면 장항리 324-1,계곡,130,2,1,null,null,14206430.19253281,4219447.438380495,위험지역,3
산내계곡,전라북도,남원시,산내면,소윤정 펜션(구 평생가든),전라북도 남원시 산내면 내령리 90-2,계곡,170,2,1,null,1,14205255.15964775,4218424.732051576,위험지역,3
산내계곡,전라북도,남원시,산내면,천왕봉식당 앞(황해소),전라북도 남원시 산내면 내령리 414-3,계곡,100,2,2,null,null,14204377.10490021,4218264.853574492,위험지역,3
산내계곡,전라북도,남원시,산내면,산내들펜션 앞,전라북도 남원시 산내면 백일리122,계곡,160,2,1,null,null,14209308.35796727,4220030.706102566,위험지역,3
계곡,전라북도,남원시,산동면,북치골계곡,전라북도 남원시 산동면 대상리 715-2,계곡,50,3,2,null,1,14190870.14335286,4235193.554942008,위험지역,3
옥계동,전라북도,완주군,운주면,옥계동,전라북도 완주군 운주면 대둔산로 1750,계곡,200,2,1,null,1,14172643.74746553,4313869.502378359,위험지역,3
용소계곡,전라북도,완주군,동상면,용소계곡,전라북도 완주군 동상면 동상주천로 39,계곡,100,4,1,null,1,14170545.73128645,4295349.480560644,위험지역,3
구천동지구,전라북도,무주군,설천면,세심대,전라북도 무주군 설천면 심곡리 산53-2번지일원,계곡,50,2,1,null,1,14222546.30483317,4287564.017796142,위험지역,3
통안지구,전라북도,무주군,안성면,용추폭포,전라북도 무주군 안성면 공정리 1223-5번지변,계곡,40,4,2,null,0,14213562.66607887,4278961.189257877,위험지역,3
덕산계곡,전라북도,장수군,장수읍,용쏘주변13,전라북도 장수군 장수읍 덕산리 산 54-3,계곡,30,4,1,null,null,14197773.25422009,4246766.271957935,위험지역,3
방화동계곡,전라북도,장수군,번암면,방화동,전라북도 장수군 번암면 사암리 686-1,계곡,30,2,1,null,null,14196767.63846806,4245587.902164352,위험지역,3
토옥동계곡,전라북도,장수군,계북면,토옥동,전라북도 장수군 계북면 양악리 889,계곡,100,4,1,null,null,14209490.79948074,4273590.251779681,위험지역,3
용둠벙계곡,전라남도,장흥군,대덕,용둠벙계곡,전라남도 장흥군 대덕읍 연지리 산71-1,계곡,18,1.3,0.7,null,0,14126698.30856492,4097861.185770457,위험지역,3
하옥계곡,경상북도,포항시,죽장면,정솔펜션 일원,포항시 북구 죽장면 하옥리 667-2,계곡,300,3,1,null,0,14387845.9080182,4341492.781372703,위험지역,3
하옥계곡,경상북도,포항시,죽장면,물댄동산 수양관 일원,경상북도 포항시 북구 죽장면 하옥리 563,계곡,300,3,1,null,2,14388166.06287372,4343065.829367318,위험지역,3
마두교,경상북도,포항시,죽장면,마두교,경상북도 포항시 북구 죽장면 하옥리 681,계곡,200,2,1,null,0,14388023.98580762,4340788.463702156,위험지역,3
보경사계곡,경상북도,포항시,송라면,보경사계곡,경상북도 포항시 북구 송라면 중산리 627,계곡,"2,000",4,1,null,1,14395619.96031749,4335174.931506121,위험지역,3
용추계곡,경상북도,문경시,가은읍,용추계곡,경상북도 문경시 가은읍 완장리 산114,계곡,30,3,1.2,null,null,14244777.63090882,4393537.667679074,위험지역,3
빙계계곡,경상북도,의성군,춘산면,빙계계곡 하류,경상북도 의성군 춘산면 빙계리 1005,계곡,300,3,1.5,null,0,14333210.20174932,4332194.026291857,위험지역,3
무지개숲,경상북도,영덕군,달산면,매일교앞,경상북도 영덕군 달산면 매일리 559,계곡,400,3,1,null,0,14391928.96222516,4352703.481690696,위험지역,3
옥계계곡,경상북도,영덕군,달산면,옥계리계곡,경상북도 영덕군 달산면 옥계리 4,계곡,"3,500",3,1,null,3,14390206.46008437,4346400.914422217,위험지역,3
오천솔밭,경상북도,영덕군,지품면,구 오천초등학교 앞,경상북도 영덕군 지품면 오천리 165-4,계곡,800,4,2,null,null,14396729.04753621,4359336.340050075,위험지역,3
용추계곡,경상북도,영덕군,지품면,용추휴게소뒤,경상북도 영덕군 지품면 신안리 491-10,계곡,200,3,2,null,0,14389337.32202805,4362333.878364773,위험지역,3
중섬,경상북도,울진군,금강송면,중섬교 상부,경상북도 울진군 금강송면 하원리 91-2,계곡,150,3,1,null,1,14391084.88218622,4431865.814446745,위험지역,3
신선계곡,경상북도,울진군,온정면,신선계곡 구름다리,경상북도 울진군 온정면 선구리 산164,계곡,null,4,1,null,3,14397042.60114593,4404148.430125561,위험지역,3
내원사계곡,경상남도,양산시,하북면,금호모텔뒤,경상남도 양산시 하북면 용연리 568,계곡,200,3,1,null,0,14368923.54267443,4224562.587351034,위험지역,3
원동천,경상남도,양산시,원동면,늘봄식당 뒤,경상남도 양산시 원동면 원리72,계곡,70,2,1,null,1,14351213.14602278,4217166.497795037,위험지역,3
북소리당,경상남도,산청군,시천면,북소리당,경상남도 산청군 시천면 중산리 420-1,계곡,100,2,1,null,2,14222359.19903305,4202871.149343632,위험지역,3
요강소,경상남도,함양,안의면,요강소,경상남도 함양 안의면 상원리 1434,계곡,100,4,4,null,2,14224007.23956645,4255811.534975966,위험지역,3
위천중학교 앞 솔숲,경상남도,거창군,위천면,위천중학교 앞 솔숲(위천천),경상남도 거창군 위천면 장기리 390,계곡,250,3,2,null,1,14230346.99588661,4267060.040300574,위험지역,3
각시소,경상남도,거창군,가조면,고견사 주차장 아래,경상남도 거창군 가조면 수월리 산28-1번지,계곡,20,3,1,null,1,14253191.01330764,4263524.603517354,위험지역,3
